,artists,name
304,['Bobby Darin'],Dream Lover
305,['Miley Cyrus'],Sleigh Ride
306,['Chris Janson'],Buy Me a Boat
307,"['Taylor Swift', 'Brendon Urie', 'Panic! At The Disco']",ME! (feat. Brendon Urie of Panic! At The Disco)
308,"[""Why Don't We""]",Chills
309,['One Direction'],Diana
310,['Bruce Springsteen'],"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975"
311,"['John Lennon', 'Yoko Ono']",Happy Xmas (War Is Over) - Remastered 2010
312,['José José'],Gavilán o Paloma
313,"['Elton John', 'George Michael']",Don't Let The Sun Go Down On Me - Live At Wembley Arena / 1991
314,"['George Michael', 'Elton John']",Don't Let the Sun Go Down on Me
315,"['Kacey Musgraves', 'Troye Sivan']",Glittery - From The Kacey Musgraves Christmas Show
316,['Marc Anthony'],Hasta Ayer
317,['Danny Elfman'],Poor Jack
318,['Miguel Aceves Mejia'],La Malagueña
319,['Joan Sebastian'],Alma De Niña
320,"['IU', 'SUGA']",eight(Prod.&Feat. SUGA of BTS)
321,['Alesso'],REMEDY
322,['BTS'],Euphoria
323,['BTS'],Answer : Love Myself
324,['SS501'],애인만들기
325,['Jenni Rivera'],Resulta - Banda
326,['Los Originales De San Juan'],Mi Padre Querido
327,['Cardenales De Nuevo León'],Que Nadie Sepa
328,"['Frankie Lymon', 'The Teenagers']",Why Do Fools Fall in Love
329,['Carin Leon'],La Farsante
330,"['Bing Crosby', 'The Andrews Sisters']",Mele Kalikimaka (Merry Christmas)
331,['David Allan Coe'],The Ride
332,"['Frank Sinatra', 'Nancy Sinatra']",Somethin' Stupid
333,['Otis Redding'],(Sittin' On) the Dock of the Bay
334,['The Temptations'],I Wish It Would Rain
335,['Britney Spears'],I Wanna Go
336,['K-Paz De La Sierra'],Volveré (Tornero)
337,['Mac DeMarco'],The Stars Keep On Calling My Name
338,['Ava Max'],So Am I
339,['El Trono de Mexico'],Sin Lugar A Dudas
340,['Dua Lipa'],Physical
341,['EXO'],Ko Ko Bop
342,['Shawn Mendes'],Stitches
343,['Peter Bjorn and John'],Young Folks
344,['Red Velvet'],Bad Boy
345,['Taylor Swift'],Miss Americana & The Heartbreak Prince
346,['Sticky Fingers'],How To Fly
347,['Marcy Playground'],Sex And Candy
348,"['grandson', 'King Kavalier']",Blood // Water - King Kavalier Remix
349,"['Colt Ford', 'Taylor Ray Holbrook']",Reload
350,"['I Prevail', 'Justin Stone']",Rise Above It
351,['B.E.R.'],The Night Begins to Shine
352,['Conjunto Primavera'],Te Lloré
353,['Caravan Palace'],Aftermath
354,['Christian Leave'],Darling
355,['Fame on Fire'],Without Me
356,['BTS'],DNA
